абвер|а+бве+р
гамма-лучи|га+мма-лучи+
гамма-снимок|га+мма-сни+мок
гамма-спектрометр|га+мма-спектро+метр
гамма-спектроскопия|га+мма-спектроскопи+я
гамма-терапевтический|га+мма-терапевти+ческий
гамма-терапия|га+мма-терапи+я
гамма-установка|га+мма-устано+вка
гамма-функция|га+мма-фу+нкция
гардинно-кружевной|гарди+нно-кружевно+й
гардинно-тюлевый|гарди+нно-тю+левый
гастроэнтерит|гастроэнтери+т
гастроэнтерологический|гастроэнтерологи+ческий
гастроэнтерология|гастроэнтероло+гия
гауч-пресс|га+уч-пре+сс
гексаэдр|гекса+эдр
гектоватт-час|гектова+тт-ча+с
гелиево-неоновый|ге+лиево-нео+новый
геликоптер|гелико+пте+р
генерал-адмирал|генера+л-адмира+л
генерал-адъютант|генера+л-адъюта+нт
генерал-аншеф|генера+л-анше+ф
генерал-бас|генера+л-ба+с
генерал-губернатор|генера+л-губерна+тор
генерал-губернаторский|генера+л-губерна+торский
генерал-губернаторство|генера+л-губерна+торство
генерал-директор|генера+л-дире+ктор
генерал-квартирмейстер|генера+л-квартирме+йстер
генерал-лейтенант|генера+л-лейтена+нт
генерал-лейтенант-инженер|генера+л-лейтена+нт-инжене+р
генерал-майор|генера+л-майо+р
генерал-майор-инженер|генера+л-майо+р-инжене+р
генерал-полковник|генера+л-полко+вник
генерал-полковник-инженер|генера+л-полко+вник-инжене+р
генерал-прокурор|генера+л-прокуро+р
генерал-фельдмаршал|генера+л-фельдма+ршал
генетико-автоматический|гене+тико-автомати+ческий
генно-инженерный|ге+нно-инжене+рный
генуэзский|генуэ+зский
геолого-географический|гео+лого-географи+ческий
геолого-разведочный|гео+лого-разве+дочный
гептаэдр|гепта+эдр
гербицидно-аммиачный|гербици+дно-аммиа+чный
германо-советский|герма+но-сове+тский
героико-патриотический|геро+ико-патриоти+ческий
героико-романтический|геро+ико-романти+ческий
гетерохрония|гетерохро+ни+я
гибко-упругий|ги+бко-упру+гий
гидроаэродром|гидроаэродро+м
гидроаэроионизация|гидроаэроиониза+ция
гидроаэрометеорологический|гидроаэрометеорологи+ческий
гидроаэромеханика|гидроаэромеха+ника
гидрометаллургия|гидрометаллу+рги+я
гидроэкструзия|гидроэкстру+зия
гидроэлеватор|гидроэлева+тор
гидроэлектрический|гидроэлектри+ческий
гидроэлектростанция|гидроэлектроста+нция
гидроэлектротурбина|гидроэлектротурби+на
гидроэнергетика|гидроэнерге+тика
гидроэнергетический|гидроэнергети+ческий
гиперэллиптический|гиперэллипти+ческий
гипнопедия|гипнопе+ди+я
гипокинезия|гипокине+зи+я
глубинно-насосный|глуби+нно-насо+сный
глубокоэшелонированный|глубокоэшелони+рованный
гнойно-воспалительный|гно+йно-воспали+тельный
гнойно-гнилостный|гно+йно-гни+лостный
